cod,categoria_servico,nome,nome_cor,somente_cartao
464,CONVENCIONAL,A. MUNHOZ / J. BOTANICO,AMARELA,S
226,ALIMENTADOR,ABAETE,LARANJA,N
182,TRONCAL,ABRANCHES,AMARELA,N
332,ALIMENTADOR,ACROPOLE,LARANJA,N
334,ALIMENTADOR,AGRICOLA,LARANJA,N
265,CONVENCIONAL,AHU / LOS ANGELES,AMARELA,S
560,CONVENCIONAL,ALFERES POLI,AMARELA,S
232,ALIMENTADOR,ALIANCA,LARANJA,N
629,ALIMENTADOR,ALTO BOQUEIR?O,LARANJA,N
373,TRONCAL,ALTO TARUM?,AMARELA,N
245,ALIMENTADOR,ANITA GARIBALDI,LARANJA,N
311,ALIMENTADOR,ARAGUAIA,LARANJA,F
823,ALIMENTADOR,AUGUSTA,LARANJA,S
820,ALIMENTADOR,AUGUSTA/V. MARQUETO,LARANJA,N
361,CONVENCIONAL,AUGUSTO STRESSER,AMARELA,S
342,ALIMENTADOR,B. ALTO / BOA VISTA,LARANJA,N
341,ALIMENTADOR,B. ALTO / STA. CANDIDA,LARANJA,N
307,LINHA DIRETA,B. ALTO / STA. FELICIDADE,PRATA,N
506,LINHA DIRETA,BAIRRO NOVO,PRATA,N
541,ALIMENTADOR,BAIRRO NOVO A,LARANJA,N
542,ALIMENTADOR,BAIRRO NOVO B,LARANJA,N
524,ALIMENTADOR,BAIRRO NOVO B/C,LARANJA,N
547,ALIMENTADOR,BAIRRO NOVO C,LARANJA,N
231,ALIMENTADOR,BANESTADO / CALIFORNIA,LARANJA,N
205,TRONCAL,BARREIRINHA,AMARELA,N
256,LINHA DIRETA,BARREIRINHA/GUADALUPE,PRATA,N
875,CONVENCIONAL,BIGORRILHO,AMARELA,S
225,ALIMENTADOR,BOA VISTA / BARREIRINHA,LARANJA,N
201,TRONCAL,BOM RETIRO / CABRAL,AMARELA,N
175,CONVENCIONAL,BOM RETIRO / PUC,AMARELA,F
540,ALIMENTADOR,BOQUEIRAO / MONDELEZ,LARANJA,N
503,EXPRESSO,BOQUEIR?O,VERMELHA,N
505,LINHA DIRETA,BOQUEIR?O / C. CIVICO,PRATA,N
528,ALIMENTADOR,BOQUEIR?O/PINHEIRINHO,LARANJA,N
627,ALIMENTADOR,BOSCH,LARANJA,N
170,CONVENCIONAL,BRACATINGA,AMARELA,N
913,ALIMENTADOR,BUTIATUVINHA,LARANJA,S
948,ALIMENTADOR,BUTIATUVINHA/ OURO VERDE,LARANJA,S
516,ALIMENTADOR,C. BELEM / S. FILHO,LARANJA,S
828,ALIMENTADOR,C. COMPRIDO / C. RASO,LARANJA,N
826,ALIMENTADOR,C. COMPRIDO / CIC,LARANJA,N
393,CONVENCIONAL,C. IMBUIA / PQ. BARIGUI,AMARELA,S
150,CONVENCIONAL,C. MUSICA / V. ALEGRE,AMARELA,S
027,INTERBAIRROS,C. RASO / C. DO SIQUEIRA,VERDE,N
658,ALIMENTADOR,C. RASO / CAIUA,LARANJA,N
024,LINHA DIRETA,C. RASO / CAMP. SIQUEIRA,PRATA,N
202,EXPRESSO,CABRAL / C.RASO,VERMELHA,N
207,TRONCAL,CABRAL / OSORIO,AMARELA,N
216,ALIMENTADOR,CABRAL / PORT?O,LARANJA,N
732,ALIMENTADOR,CAIUA / C.COMPRIDO,LARANJA,N
702,LINHA DIRETA,CAIUA/CACHOEIRA,PRATA,N
706,TRONCAL,CAIUA/FAZ/CENTRO,AMARELA,N
703,TRONCAL,CAIUA,AMARELA,N
X34,LINHA DIRETA,CAIUA / STA.QUITERIA,PRATA,N
386,CONVENCIONAL,CAJURU,AMARELA,S
322,ALIMENTADOR,CAMARGO,LARANJA,N
801,TRONCAL,CAMP. SIQUEIRA / BATEL,AMARELA,N
816,ALIMENTADOR,CAMP. SIQUEIRA / STA.FELICIDADE,LARANJA,N
654,ALIMENTADOR,CAMPO ALEGRE,LARANJA,N
475,CONVENCIONAL,CANAL BELEM,AMARELA,N
628,ALIMENTADOR,CARBOMAFRA,LARANJA,N
776,CONVENCIONAL,CARMELA DUTRA,AMARELA,N
668,ALIMENTADOR,CASA DE CUSTODIA,LARANJA,N
224,ALIMENTADOR,CASSIOPEIA,LARANJA,S
659,ALIMENTADOR,CAXIMBA / OLARIA,LARANJA,N
305,LINHA DIRETA,CENTENARIO,PRATA,N
335,ALIMENTADOR,CENTENARIO / BOQUEIR?O,LARANJA,N
303,EXPRESSO,CENTENARIO / C. COMPRIDO,VERMELHA,N
338,ALIMENTADOR,CENTENARIO / HAUER,LARANJA,N
302,EXPRESSO,CENTENARIO / RUI BARBOSA,VERMELHA,N
469,LINHA DIRETA,CENTRO POLITECNICO,PRATA,N
X32,LINHA DIRETA,CIC / CAPAO RASO,PRATA,N
210,LINHA DIRETA,CIC/CABRAL,PRATA,N
002,CIRCULAR CENTRO,CIRCULAR CENTRO (ANTI-HORARIO),BRANCA,S
001,CIRCULAR CENTRO,CIRCULAR CENTRO (HORARIO),BRANCA,S
602,EXPRESSO,CIRCULAR SUL  (ANTI-HORARIO),VERMELHA,N
502,EXPRESSO,CIRCULAR SUL (HORARIO),VERMELHA,N
211,ALIMENTADOR,COLINA VERDE,LARANJA,F
607,LINHA DIRETA,COLOMBO / CIC,PRATA,N
778,TRONCAL,COTOLENGO,AMARELA,N
385,CONVENCIONAL,CRISTO REI,AMARELA,S
681,ALIMENTADOR,DALAGASSA,LARANJA,N
340,LINHA DIRETA,DETRAN / B. ALTO,PRATA,N
380,CONVENCIONAL,DETRAN / VIC. MACHADO,AMARELA,N
662,CONVENCIONAL,DOM ATICO,AMARELA,S
533,ALIMENTADOR,E. VERISSIMO / PANTANAL,LARANJA,N
465,CONVENCIONAL,ERASTO  GAERTNER,AMARELA,N
X12,EXPRESSO,ESPECIAL BOQUEIRAO,VERMELHA,N
X19,ALIMENTADOR,ESPECIAL HASDRUBAL BELLEGARD,LARANJA,N
266,CONVENCIONAL,ESTRIBO AHU,AMARELA,S
466,CONVENCIONAL,ESTUDANTES,AMARELA,S
275,CONVENCIONAL,F. NORONHA / LARANJEIRAS,AMARELA,N
621,ALIMENTADOR,FANNY,LARANJA,N
701,TRONCAL,FAZENDINHA,AMARELA,N
720,ALIMENTADOR,FAZENDINHA / C. COMPRIDO,LARANJA,N
831,ALIMENTADOR,FAZENDINHA / C.RASO,LARANJA,N
611,ALIMENTADOR,FAZENDINHA / PORT?O,LARANJA,N
614,ALIMENTADOR,FAZENDINHA / PUC,LARANJA,N
719,ALIMENTADOR,FAZENDINHA/CAIUA-FORUM,LARANJA,N
270,CONVENCIONAL,FERNANDO DE NORONHA,AMARELA,S
821,ALIMENTADOR,FERN?O DIAS,LARANJA,F
673,CONVENCIONAL,FORMOSA,AMARELA,S
716,ALIMENTADOR,FORUM/B.VISTA,LARANJA,N
167,CONVENCIONAL,FREDOLIN WOLF,AMARELA,S
639,ALIMENTADOR,FUTURAMA,LARANJA,N
683,ALIMENTADOR,FUTURAMA / S. CERCADO,LARANJA,N
822,ALIMENTADOR,GABINETO,LARANJA,N
642,ALIMENTADOR,GANCHINHO,LARANJA,N
625,ALIMENTADOR,GRAMADOS,LARANJA,N
470,CONVENCIONAL,GUABIROTUBA,AMARELA,S
561,CONVENCIONAL,GUILHERMINA,AMARELA,N
513,ALIMENTADOR,HAUER / BOQUEIR?O,LARANJA,N
371,TRONCAL,HIGIENOPOLIS,AMARELA,N
374,TRONCAL,HUGO LANGE,AMARELA,N
523,ALIMENTADOR,IGUAPE I,LARANJA,N
515,ALIMENTADOR,IGUAPE II,LARANJA,N
023,LINHA DIRETA,INTER 2 ( ANTI-HORARIO),PRATA,N
022,LINHA DIRETA,INTER 2 (HORARIO),PRATA,N
378,CONVENCIONAL,INTER-HOSPITAIS,AMARELA,S
011,INTERBAIRROS,INTERBAIRROS I (ANTI-HORARIO),VERDE,N
010,INTERBAIRROS,INTERBAIRROS I (HORARIO),VERDE,N
021,INTERBAIRROS,INTERBAIRROS II (ANTI-HORARIO),VERDE,N
020,INTERBAIRROS,INTERBAIRROS II (HORARIO),VERDE,N
030,INTERBAIRROS,INTERBAIRROS III,VERDE,N
040,INTERBAIRROS,INTERBAIRROS IV,VERDE,N
050,INTERBAIRROS,INTERBAIRROS V,VERDE,N
060,INTERBAIRROS,INTERBAIRROS VI,VERDE,N
512,ALIMENTADOR,ITAMARATI,LARANJA,N
711,ALIMENTADOR,ITATIAIA,LARANJA,N
366,CONVENCIONAL,ITUPAVA / HOSP. MILITAR,AMARELA,S
468,CONVENCIONAL,JD. CENTAURO,AMARELA,N
183,CONVENCIONAL,JD. CHAPARRAL,AMARELA,N
655,ALIMENTADOR,JD. DA ORDEM,LARANJA,N
244,ALIMENTADOR,JD. DO ARROIO,LARANJA,S
865,CONVENCIONAL,JD. ESPLANADA,AMARELA,S
712,ALIMENTADOR,JD. INDEPENDENCIA / CIC,LARANJA,N
917,ALIMENTADOR,JD. IPE,LARANJA,F
474,CONVENCIONAL,JD. ITIBERE,AMARELA,N
972,TRONCAL,JD. ITALIA,AMARELA,F
169,CONVENCIONAL,JD. KOSMOS,AMARELA,F
617,ALIMENTADOR,JD. LUDOVICA,LARANJA,N
160,CONVENCIONAL,JD. MERCES / GUANABARA,AMARELA,N
532,ALIMENTADOR,JD. PARANAENSE,LARANJA,N
365,CONVENCIONAL,JD. SOCIAL / BATEL,AMARELA,S
912,ALIMENTADOR,JOSE CULPI,LARANJA,S
938,ALIMENTADOR,JOSE CULPI / VENEZA,LARANJA,S
285,CONVENCIONAL,JUVEVE / AGUA VERDE,AMARELA,S
967,CONVENCIONAL,JULIO GRAF,AMARELA,S
656,ALIMENTADOR,KAMYR,LARANJA,N
600,ALIMENTADOR,KAMYR/QUARTEL GENERAL,LARANJA,N
271,CONVENCIONAL,LARANJEIRAS,AMARELA,S
500,LIGEIR?O,LIGEIR?O BOQUEIR?O,AZUL,N
550,LIGEIR?O,LIGEIR?O PINHEIRINHO / C. GOMES,AZUL,N
200,LIGEIR?O,LIGEIR?O STA.CANDIDA / PCA.DO JAP?O,AZUL,N
661,CONVENCIONAL,LINDOIA,AMARELA,S
635,ALIMENTADOR,LONDRINA,LARANJA,N
641,ALIMENTADOR,LUIZ NICHELE,LARANJA,N
189,MADRUGUEIRO,MAD. ABRANCHES,MADRUGUEIRO,N
549,MADRUGUEIRO,MAD. BAIRRO NOVO,MADRUGUEIRO,N
509,MADRUGUEIRO,MAD. BOQUEIR?O,MADRUGUEIRO,N
789,MADRUGUEIRO,MAD. CAIUA,MADRUGUEIRO,N
809,MADRUGUEIRO,MAD. CAMPO COMPRIDO,MADRUGUEIRO,N
309,MADRUGUEIRO,MAD. CENTENARIO,MADRUGUEIRO,N
308,MADRUGUEIRO,MAD. CENTENARIO / RUI BARBOSA,MADRUGUEIRO,N
609,MADRUGUEIRO,MAD. CIC,MADRUGUEIRO,N
229,MADRUGUEIRO,MAD. PENHA / F. NORONHA,MADRUGUEIRO,S
489,MADRUGUEIRO,MAD. PETROPOLIS / SOLITUDE,MADRUGUEIRO,N
188,MADRUGUEIRO,MAD. PILARZINHO / UBERABA,MADRUGUEIRO,N
608,MADRUGUEIRO,MAD. PINHEIRINHO,MADRUGUEIRO,N
209,MADRUGUEIRO,MAD. S. CANDIDA / C. RASO,MADRUGUEIRO,S
519,MADRUGUEIRO,MAD. S. FRANCISCO / IGUAPE,MADRUGUEIRO,N
689,MADRUGUEIRO,MAD. S. PEDRO / R. NEGRO,MADRUGUEIRO,N
989,MADRUGUEIRO,MAD. STA. FELICIDADE,MADRUGUEIRO,N
889,MADRUGUEIRO,MAD. S?O BRAZ,MADRUGUEIRO,N
389,MADRUGUEIRO,MAD. TARUM? / AUGUSTA,MADRUGUEIRO,N
679,MADRUGUEIRO,MAD. TATUQUARA,MADRUGUEIRO,N
788,MADRUGUEIRO,MAD. V. VELHA,MADRUGUEIRO,N
260,CONVENCIONAL,MAL. HERMES / STA. EFIGENIA,AMARELA,S
633,ALIMENTADOR,MARIA ANGELICA,LARANJA,N
522,ALIMENTADOR,MARINGA,LARANJA,N
181,CONVENCIONAL,MATEUS LEME,AMARELA,S
594,CONVENCIONAL,MENONITAS,AMARELA,N
331,ALIMENTADOR,MERCURIO,LARANJA,S
812,ALIMENTADOR,MONTANA,LARANJA,N
814,ALIMENTADOR,MOSSUNGUE,LARANJA,S
721,ALIMENTADOR,MARIO JORGE,LARANJA,N
521,ALIMENTADOR,NIVALDO BRAGA,LARANJA,N
360,CONVENCIONAL,NOVENA,AMARELA,N
666,CONVENCIONAL,NOVO MUNDO,AMARELA,S
674,CONVENCIONAL,NSA. SRA. DA LUZ,AMARELA,N
280,CONVENCIONAL,NSA.SRA.DE NAZARE,AMARELA,S
233,ALIMENTADOR,OLARIA,LARANJA,N
535,ALIMENTADOR,OSTERNACK / BOQUEIR?O,LARANJA,N
548,ALIMENTADOR,OSTERNACK / S. CERCADO,LARANJA,N
915,ALIMENTADOR,OURO VERDE (VIA VL.BADIA),LARANJA,S
272,CONVENCIONAL,PAINEIRAS,AMARELA,S
640,ALIMENTADOR,PALMEIRA,LARANJA,N
387,CONVENCIONAL,PALOTINOS,AMARELA,S
343,ALIMENTADOR,PARAISO,LARANJA,S
534,ALIMENTADOR,PARIGOT DE SOUZA,LARANJA,N
623,ALIMENTADOR,PARQUE INDUSTRIAL,LARANJA,N
176,CONVENCIONAL,PARQUE TANGUA,AMARELA,S
911,ALIMENTADOR,PASSAUNA,LARANJA,S
928,ALIMENTADOR,PASSAUNA / JD.IPE,LARANJA,S
462,CONVENCIONAL,PETROPOLIS,AMARELA,N
304,LINHA DIRETA,PINHAIS / C. COMPRIDO,PRATA,N
638,ALIMENTADOR,PINHEIRINHO,LARANJA,N
644,ALIMENTADOR,PINHEIRINHO / CIC,LARANJA,S
688,ALIMENTADOR,PINHEIRINHO / ZOOLOGICO,LARANJA,N
527,LINHA DIRETA,PINHEIRINHO/BOQUEIRAO,PRATA,N
700,LINHA DIRETA,PINHEIRINHO/CABRAL,PRATA,N
X35,LINHA DIRETA,PINHEIRINHO/PREFEITURA,PRATA,S
603,EXPRESSO,PINHEIRINHO/RUI BARBOSA,VERMELHA,N
916,ALIMENTADOR,PINHEIROS,LARANJA,N
631,ALIMENTADOR,PIRATINI / BR 476,LARANJA,N
649,ALIMENTADOR,PIRINEUS,LARANJA,N
